OBJECTID,GEO_ID_TRT,TRACT_LBL,E02001001,M02001001,E02001002,M02001002,E02001003,M02001003,E02001004,M02001004,E02001005,M02001005,E02001006,M02001006,E02001007,M02001007,E02001008,M02001008,E02001009,M02001009,E02001010,M02001010
1,53033000100,Tract 000100,7985,526,4545,384,1145,360,70,69,1126,219,133,165,132,96,834,350,80,74,754,293
2,53033000200,Tract 000200,8498,435,5525,596,710,178,278,309,1140,331,0,17,352,306,493,178,19,31,474,177
3,53033000300,Tract 000300,2991,219,2103,173,124,81,0,12,427,148,30,49,27,30,280,155,13,20,267,152
4,53033000401,Tract 000401,6560,423,4298,408,714,237,35,55,1101,320,0,17,21,33,391,192,0,17,391,192
5,53033000402,Tract 000402,5419,619,4325,516,195,185,14,23,449,194,20,33,109,97,307,194,0,17,307,194
6,53033000500,Tract 000500,3143,189,2696,257,22,24,0,12,292,149,0,12,0,12,133,96,0,12,133,96
7,53033000600,Tract 000600,8124,558,5034,507,756,219,91,78,1002,334,0,17,745,318,496,217,52,57,444,215
8,53033000700,Tract 000700,5217,431,3278,488,665,350,45,56,864,300,17,28,166,118,182,105,49,71,133,88
9,53033000800,Tract 000800,2710,177,2208,169,89,55,0,12,230,94,10,20,0,12,173,106,0,12,173,106
10,53033000900,Tract 000900,2009,129,1666,152,22,24,5,8,202,79,35,42,4,7,75,36,0,12,75,36
11,53033001000,Tract 001000,2055,140,1349,152,260,165,0,12,278,82,0,12,6,9,162,77,7,11,155,76
12,53033001100,Tract 001100,2752,268,1812,250,5,9,6,9,708,311,0,12,70,87,151,86,0,12,151,86
13,53033001200,Tract 001200,7124,436,4676,607,715,437,28,31,1096,300,0,17,101,109,508,208,17,29,491,206
14,53033001300,Tract 001300,4702,294,2865,317,201,140,13,23,1025,215,0,12,315,231,283,136,0,12,283,136
15,53033001400,Tract 001400,5674,527,4475,488,53,55,58,59,389,140,0,17,109,98,590,333,0,17,590,333
16,53033001500,Tract 001500,2752,155,2414,189,54,69,6,10,157,63,0,12,0,12,121,82,16,27,105,77
17,53033001600,Tract 001600,4758,310,3982,295,23,24,14,15,297,148,0,12,15,18,427,235,7,12,420,234
18,53033001701,Tract 001701,4024,307,2871,348,310,152,48,51,417,111,23,35,36,38,319,122,26,26,293,120
19,53033001702,Tract 001702,5018,316,3809,341,116,91,46,54,464,153,0,17,233,114,350,152,0,17,350,152
20,53033001800,Tract 001800,5246,332,4049,357,37,53,0,17,652,258,28,33,134,80,346,201,0,17,346,201
21,53033001900,Tract 001900,4971,296,3771,294,149,75,0,12,792,189,15,35,37,30,207,96,58,50,149,80
22,53033002000,Tract 002000,3754,218,2991,223,24,22,2,5,429,112,0,12,44,43,264,130,14,22,250,119
23,53033002100,Tract 002100,4350,218,3397,212,65,56,5,12,612,126,0,12,109,69,162,85,0,12,162,85
24,53033002200,Tract 002200,5867,412,4623,428,5,12,13,21,751,170,13,22,31,50,431,183,32,35,399,181
25,53033002400,Tract 002400,3224,196,2741,191,12,19,0,12,310,79,8,13,40,53,113,64,0,12,113,64
26,53033002500,Tract 002500,3357,303,2741,189,37,35,8,13,288,106,0,12,22,35,261,168,0,12,261,168
27,53033002600,Tract 002600,5268,253,4214,246,48,37,0,17,471,113,0,17,117,170,418,144,10,16,408,142
28,53033002700,Tract 002700,6415,503,4759,384,86,64,0,17,764,335,0,17,258,250,548,285,17,27,531,290
29,53033002800,Tract 002800,4925,343,4155,449,47,69,0,12,299,102,0,12,34,38,390,303,0,12,390,303
30,53033002900,Tract 002900,4863,298,4235,304,0,12,1,4,291,196,13,21,63,51,260,208,21,29,239,196
31,53033003000,Tract 003000,6314,344,5373,376,17,25,0,17,356,136,19,36,193,241,356,160,19,30,337,163
32,53033003100,Tract 003100,6452,234,5880,243,0,17,75,104,249,148,0,17,0,17,248,145,0,17,248,145
33,53033003200,Tract 003200,8813,540,7770,471,51,61,26,46,352,187,0,17,146,153,468,165,0,17,468,165
34,53033003300,Tract 003300,7560,468,6129,415,139,132,49,57,529,148,0,17,107,91,607,201,0,17,607,201
35,53033003400,Tract 003400,3630,211,3163,235,35,44,0,12,242,103,0,12,24,35,166,80,35,32,131,76
36,53033003500,Tract 003500,4218,207,3589,254,49,38,1,4,320,179,15,23,8,13,236,114,0,12,236,114
37,53033003600,Tract 003600,7122,507,5389,431,160,111,0,17,997,365,0,17,171,124,405,153,19,32,386,148
38,53033003800,Tract 003800,2362,131,1866,138,20,17,1,4,305,99,0,12,0,12,170,73,0,12,170,73
39,53033003900,Tract 003900,3070,191,2456,178,19,32,45,52,322,81,0,12,30,26,198,91,0,12,198,91
40,53033004000,Tract 004000,3237,247,2321,294,376,219,0,12,296,73,0,12,30,36,214,96,0,12,214,96
41,53033004100,Tract 004100,8106,449,6685,483,4,10,6,12,979,325,25,39,1,3,406,177,0,17,406,177
